Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: ADRA2C, Methylation Islands Number: 132
Key: ADRB1, Methylation Islands Number: 62
Key: ADRB2, Methylation Islands Number: 38
Key: ADRB3, Methylation Islands Number: 73
Key: ADRM1, Methylation Islands Number: 153
Key: ADSL, Methylation Islands Number: 95
Key: AEBP1, Methylation Islands Number: 192
Key: AEBP2, Methylation Islands Number: 50
Key: AEN, Methylation Islands Number: 105
Key: AFAP1, Methylation Islands Number: 92
Key: AFAP1L1, Methylation Islands Number: 61
Key: AFAP1L2, Methylation Islands Number: 54
Key: AFF1, Methylation Islands Number: 79
Key: AFF2, Methylation Islands Number: 30
Key: AFF3, Methylation Islands Number: 55
Key: AFF4, Methylation Islands Number: 52
Key: AFG3L2, Methylation Islands Number: 88
Key: AFM, Methylation Islands Number: 44
Key: AFMID, Methylation Islands Number: 204
Key: AFP, Methylation Islands Number: 49
Key: AFTPH, Methylation Islands Number: 54
Key: AGA, Methylation Islands Number: 35
Key: AGAP1, Methylation Islands Number: 75
Key: AGAP2, Methylation Islands Number: 211
Key: AGAP3, Methylation Islands Number: 279
Key: AGAP5, Methylation Islands Number: 94
Key: AGAP6, Methylation Islands Number: 8
Key: AGBL2, Methylation Islands Number: 65
Key: AGBL3, Methylation Islands Number: 46
Key: AGBL4, Methylation Islands Number: 37
Key: AGBL5, Methylation Islands Number: 156
Key: AGER, Methylation Islands Number: 641
Key: AGFG1, Methylation Islands Number: 55
Key: AGFG2, Methylation Islands Number: 183
Key: AGGF1, Methylation Islands Number: 58
Key: AGK, Methylation Islands Number: 29
Key: AGL, Methylation Islands Number: 56
Key: AGMAT, Methylation Islands Number: 112
Key: AGMO, Methylation Islands Number: 14
Key: AGPAT1, Methylation Islands Number: 675
Key: AGPAT2, Methylation Islands Number: 224
Key: AGPAT3, Methylation Islands Number: 127
Key: AGPAT4, Methylation Islands Number: 42
Key: AGPAT5, Methylation Islands Number: 54
Key: AGPS, Methylation Islands Number: 40
Key: AGR2, Methylation Islands Number: 55
Key: AGR3, Methylation Islands Number: 31
Key: AGRN, Methylation Islands Number: 324
Key: AGRP, Methylation Islands Number: 163
Key: AGT, Methylation Islands Number: 75
Key: AGTPBP1, Methylation Islands Number: 30
Key: AGTR1, Methylation Islands Number: 36
Key: AGTR2, Methylation Islands Number: 9
Key: AGTRAP, Methylation Islands Number: 137
Key: AGXT, Methylation Islands Number: 140
Key: AGXT2, Methylation Islands Number: 36
Key: AHCTF1, Methylation Islands Number: 39
Key: AHCY, Methylation Islands Number: 87
Key: AHCYL1, Methylation Islands Number: 98
Key: AHCYL2, Methylation Islands Number: 105
Key: AHDC1, Methylation Islands Number: 151
Key: AHI1, Methylation Islands Number: 49
Key: AHNAK, Methylation Islands Number: 173
Key: AHNAK2, Methylation Islands Number: 149
